D:\topograf\tarim-IVAN2.dwg,Model,24/02/2005 10:06:18 a.,Comunidad,HP DesignJet 450C (E/A0) by HP,ISO A0 - 841 x 1189 mm.,1:1,
D:\topograf\ejidos huetamo\imss-mirandillas.dwg,Model,06/12/2005 06:21:08 p.,admon,HP900x1120.pc3,User259,1:81.1066,
D:\topograf\3MARIASB12-4alzua.dwg,Model,20/12/2005 03:33:25 p.,admon,HP900x600.pc3,User1281,1:0.1,
D:\imss\clinicas ejido y comunidad\Primo Tapia (Santa Ana Chapitiro)-PATZCUARO-imss.dwg,Model,25/08/2007 02:34:16 p.,msa,legal.pc3,Oficio (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\san francisco periban-PERIBAN-IMSS.dwg,Model,25/08/2007 02:47:55 p.,msa,legal.pc3,Oficio (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\Zirahuen - imss.dwg,Model,29/08/2007 02:04:43 p.,msa,legal.pc3,Oficio (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\tancitaro-TANCITARO-imss.dwg,Model,29/08/2007 02:07:02 p.,msa,legal.pc3,Oficio (portrait),1:0.5,
D:\topograf\ejidos huetamo\VICENTE RIVAPALACIO-SAN LUCAS-IMSS.dwg,Model,29/08/2007 02:13:10 p.,msa,legal.pc3,Oficio (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\Primo Tapia (Santa Ana Chapitiro)-PATZCUARO-imss.dwg,Model,01/11/2007 04:10:08 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI A - 8 1/2 x 11 in. (portrait),1:10.8313,
D:\imss\clinicas ejido y comunidad\zatzio-ario-imss.dwg,Model,03/11/2007 01:42:43 p.,msa,legal.pc3,ANSI A - 8 1/2 x 11 in. (portrait),1:10.8313,
D:\imss\clinicas ejido y comunidad\zatzio-ario-imss.dwg,Model,03/11/2007 01:52:01 p.,msa,legal.pc3,ANSI A - 8 1/2 x 11 in. (portrait),1:10.8313,
D:\topograf\cafe organico.dwg,Model,13/11/2007 06:06:54 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI A - 8 1/2 x 11 in. (portrait),1:8.07453,
D:\topograf\cafe organico.dwg,Model,13/11/2007 06:08:04 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI A - 8 1/2 x 11 in. (portrait),1:8.07453,
D:\topograf\cafe organico.dwg,Model,13/11/2007 06:30:07 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI A - 8 1/2 x 11 in. (portrait),1:8.07453,
D:\imss\clinicas ejido y comunidad\NARANJA DE TAPIA-ZACAPU-IMSS.dwg,Model,13/12/2007 12:24:16 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas ejido y comunidad\tirindaro-zacapu.dwg,Model,13/12/2007 12:56:09 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas pequeña propiedad\MANZANO DE CHINCUA-SENGUIO-IMSS.dwg,Model,13/12/2007 06:34:14 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\topograf\2004-1993\CAÑADA DE BUENAVISTA-HUETAMO-IMSS.dwg,Model,13/12/2007 06:37:53 p.,msa,HP Deskjet D2300 series,Carta,1:14.0733,
